Afghanistan;Visit at least one city in Afghanistan;https://restcountries.eu/data/afg.svg
Albania;Visit at least one city in Albania;https://restcountries.eu/data/alb.svg
Algeria;Visit at least one city in Algeria;https://restcountries.eu/data/dza.svg
Angola;Visit at least one city in Angola;https://restcountries.eu/data/ago.svg
Argentina;Visit at least one city in Argentina;https://restcountries.eu/data/arg.svg
Armenia;Visit at least one city in Armenia;https://restcountries.eu/data/arm.svg
Australia;Visit at least one city in Australia;https://restcountries.eu/data/aus.svg
Austria;Visit at least one city in Austria;https://restcountries.eu/data/aut.svg
Azerbaijan;Visit at least one city in Azerbaijan;https://restcountries.eu/data/aze.svg
Bahamas, The;Visit at least one city in Bahamas, The;https://restcountries.eu/data/bhs.svg
Bahrain;Visit at least one city in Bahrain;https://restcountries.eu/data/bhr.svg
Bangladesh;Visit at least one city in Bangladesh;https://restcountries.eu/data/bgd.svg
Barbados;Visit at least one city in Barbados;https://restcountries.eu/data/brb.svg
Belarus;Visit at least one city in Belarus;https://restcountries.eu/data/blr.svg
Belgium;Visit at least one city in Belgium;https://restcountries.eu/data/bel.svg
Benin;Visit at least one city in Benin;https://restcountries.eu/data/ben.svg
Bhutan;Visit at least one city in Bhutan;https://restcountries.eu/data/btn.svg
Bolivia;Visit at least one city in Bolivia;https://restcountries.eu/data/bol.svg
Bosnia And Herzegovina;Visit at least one city in Bosnia And Herzegovina;https://restcountries.eu/data/bih.svg
Botswana;Visit at least one city in Botswana;https://restcountries.eu/data/bwa.svg
Brazil;Visit at least one city in Brazil;https://restcountries.eu/data/bra.svg
Brunei;Visit at least one city in Brunei;https://restcountries.eu/data/brn.svg
Bulgaria;Visit at least one city in Bulgaria;https://restcountries.eu/data/bgr.svg
Burkina Faso;Visit at least one city in Burkina Faso;https://restcountries.eu/data/bfa.svg
Myanmar;Visit at least one city in Myanmar;https://restcountries.eu/data/mmr.svg
Burundi;Visit at least one city in Burundi;https://restcountries.eu/data/bdi.svg
Cabo Verde;Visit at least one city in Cabo Verde;https://restcountries.eu/data/cpv.svg
Cambodia;Visit at least one city in Cambodia;https://restcountries.eu/data/khm.svg
Cameroon;Visit at least one city in Cameroon;https://restcountries.eu/data/cmr.svg
Canada;Visit at least one city in Canada;https://restcountries.eu/data/can.svg
Central African Republic;Visit at least one city in Central African Republic;https://restcountries.eu/data/caf.svg
Chad;Visit at least one city in Chad;https://restcountries.eu/data/tcd.svg
Chile;Visit at least one city in Chile;https://restcountries.eu/data/chl.svg
China;Visit at least one city in China;https://restcountries.eu/data/chn.svg
Colombia;Visit at least one city in Colombia;https://restcountries.eu/data/col.svg
Comoros;Visit at least one city in Comoros;https://restcountries.eu/data/com.svg
Congo (Brazzaville);Visit at least one city in Congo (Brazzaville);https://restcountries.eu/data/cog.svg
Congo (Kinshasa);Visit at least one city in Congo (Kinshasa);https://restcountries.eu/data/cod.svg
Costa Rica;Visit at least one city in Costa Rica;https://restcountries.eu/data/cri.svg
Côte D’Ivoire;Visit at least one city in Côte D’Ivoire;https://restcountries.eu/data/civ.svg
Croatia;Visit at least one city in Croatia;https://restcountries.eu/data/hrv.svg
Cuba;Visit at least one city in Cuba;https://restcountries.eu/data/cub.svg
Curaçao;Visit at least one city in Curaçao;https://restcountries.eu/data/cuw.svg
Cyprus;Visit at least one city in Cyprus;https://restcountries.eu/data/cyp.svg
Czechia;Visit at least one city in Czechia;https://restcountries.eu/data/cze.svg
Denmark;Visit at least one city in Denmark;https://restcountries.eu/data/dnk.svg
Djibouti;Visit at least one city in Djibouti;https://restcountries.eu/data/dji.svg
Dominican Republic;Visit at least one city in Dominican Republic;https://restcountries.eu/data/dom.svg
Ecuador;Visit at least one city in Ecuador;https://restcountries.eu/data/ecu.svg
Egypt;Visit at least one city in Egypt;https://restcountries.eu/data/egy.svg
El Salvador;Visit at least one city in El Salvador;https://restcountries.eu/data/slv.svg
Equatorial Guinea;Visit at least one city in Equatorial Guinea;https://restcountries.eu/data/gnq.svg
Eritrea;Visit at least one city in Eritrea;https://restcountries.eu/data/eri.svg
Estonia;Visit at least one city in Estonia;https://restcountries.eu/data/est.svg
Ethiopia;Visit at least one city in Ethiopia;https://restcountries.eu/data/eth.svg
Fiji;Visit at least one city in Fiji;https://restcountries.eu/data/fji.svg
Finland;Visit at least one city in Finland;https://restcountries.eu/data/fin.svg
France;Visit at least one city in France;https://restcountries.eu/data/fra.svg
French Polynesia;Visit at least one city in French Polynesia;https://restcountries.eu/data/pyf.svg
Gabon;Visit at least one city in Gabon;https://restcountries.eu/data/gab.svg
Gambia, The;Visit at least one city in Gambia, The;https://restcountries.eu/data/gmb.svg
Georgia;Visit at least one city in Georgia;https://restcountries.eu/data/geo.svg
Germany;Visit at least one city in Germany;https://restcountries.eu/data/deu.svg
Ghana;Visit at least one city in Ghana;https://restcountries.eu/data/gha.svg
Gibraltar;Visit at least one city in Gibraltar;https://restcountries.eu/data/gib.svg
Greece;Visit at least one city in Greece;https://restcountries.eu/data/grc.svg
Guadeloupe;Visit at least one city in Guadeloupe;https://restcountries.eu/data/glp.svg
Guam;Visit at least one city in Guam;https://restcountries.eu/data/gum.svg
Guatemala;Visit at least one city in Guatemala;https://restcountries.eu/data/gtm.svg
Guinea;Visit at least one city in Guinea;https://restcountries.eu/data/gin.svg
Guinea-Bissau;Visit at least one city in Guinea-Bissau;https://restcountries.eu/data/gnb.svg
Guyana;Visit at least one city in Guyana;https://restcountries.eu/data/guy.svg
Haiti;Visit at least one city in Haiti;https://restcountries.eu/data/hti.svg
Honduras;Visit at least one city in Honduras;https://restcountries.eu/data/hnd.svg
Hong Kong;Visit at least one city in Hong Kong;https://restcountries.eu/data/hkg.svg
Hungary;Visit at least one city in Hungary;https://restcountries.eu/data/hun.svg
Iceland;Visit at least one city in Iceland;https://restcountries.eu/data/isl.svg
India;Visit at least one city in India;https://restcountries.eu/data/ind.svg
Indonesia;Visit at least one city in Indonesia;https://restcountries.eu/data/idn.svg
Iran;Visit at least one city in Iran;https://restcountries.eu/data/irn.svg
Iraq;Visit at least one city in Iraq;https://restcountries.eu/data/irq.svg
Ireland;Visit at least one city in Ireland;https://restcountries.eu/data/irl.svg
Israel;Visit at least one city in Israel;https://restcountries.eu/data/isr.svg
Italy;Visit at least one city in Italy;https://restcountries.eu/data/ita.svg
Jamaica;Visit at least one city in Jamaica;https://restcountries.eu/data/jam.svg
Japan;Visit at least one city in Japan;https://restcountries.eu/data/jpn.svg
Jordan;Visit at least one city in Jordan;https://restcountries.eu/data/jor.svg
Kazakhstan;Visit at least one city in Kazakhstan;https://restcountries.eu/data/kaz.svg
Kenya;Visit at least one city in Kenya;https://restcountries.eu/data/ken.svg
Korea, North;Visit at least one city in Korea, North;https://restcountries.eu/data/prk.svg
Korea, South;Visit at least one city in Korea, South;https://restcountries.eu/data/kor.svg
Kuwait;Visit at least one city in Kuwait;https://restcountries.eu/data/kwt.svg
Kyrgyzstan;Visit at least one city in Kyrgyzstan;https://restcountries.eu/data/kgz.svg
Laos;Visit at least one city in Laos;https://restcountries.eu/data/lao.svg
Latvia;Visit at least one city in Latvia;https://restcountries.eu/data/lva.svg
Lebanon;Visit at least one city in Lebanon;https://restcountries.eu/data/lbn.svg
Lesotho;Visit at least one city in Lesotho;https://restcountries.eu/data/lso.svg
Liberia;Visit at least one city in Liberia;https://restcountries.eu/data/lbr.svg
Libya;Visit at least one city in Libya;https://restcountries.eu/data/lby.svg
Lithuania;Visit at least one city in Lithuania;https://restcountries.eu/data/ltu.svg
Luxembourg;Visit at least one city in Luxembourg;https://restcountries.eu/data/lux.svg
Macau;Visit at least one city in Macau;https://restcountries.eu/data/mac.svg
Macedonia;Visit at least one city in Macedonia;https://restcountries.eu/data/mkd.svg
Madagascar;Visit at least one city in Madagascar;https://restcountries.eu/data/mdg.svg
Malawi;Visit at least one city in Malawi;https://restcountries.eu/data/mwi.svg
Malaysia;Visit at least one city in Malaysia;https://restcountries.eu/data/mys.svg
Maldives;Visit at least one city in Maldives;https://restcountries.eu/data/mdv.svg
Mali;Visit at least one city in Mali;https://restcountries.eu/data/mli.svg
Malta;Visit at least one city in Malta;https://restcountries.eu/data/mlt.svg
Martinique;Visit at least one city in Martinique;https://restcountries.eu/data/mtq.svg
Mauritania;Visit at least one city in Mauritania;https://restcountries.eu/data/mrt.svg
Mauritius;Visit at least one city in Mauritius;https://restcountries.eu/data/mus.svg
Mexico;Visit at least one city in Mexico;https://restcountries.eu/data/mex.svg
Moldova;Visit at least one city in Moldova;https://restcountries.eu/data/mda.svg
Mongolia;Visit at least one city in Mongolia;https://restcountries.eu/data/mng.svg
Montenegro;Visit at least one city in Montenegro;https://restcountries.eu/data/mne.svg
Morocco;Visit at least one city in Morocco;https://restcountries.eu/data/mar.svg
Mozambique;Visit at least one city in Mozambique;https://restcountries.eu/data/moz.svg
Namibia;Visit at least one city in Namibia;https://restcountries.eu/data/nam.svg
Nepal;Visit at least one city in Nepal;https://restcountries.eu/data/npl.svg
Netherlands;Visit at least one city in Netherlands;https://restcountries.eu/data/nld.svg
New Caledonia;Visit at least one city in New Caledonia;https://restcountries.eu/data/ncl.svg
New Zealand;Visit at least one city in New Zealand;https://restcountries.eu/data/nzl.svg
Nicaragua;Visit at least one city in Nicaragua;https://restcountries.eu/data/nic.svg
Niger;Visit at least one city in Niger;https://restcountries.eu/data/ner.svg
Nigeria;Visit at least one city in Nigeria;https://restcountries.eu/data/nga.svg
Norway;Visit at least one city in Norway;https://restcountries.eu/data/nor.svg
Oman;Visit at least one city in Oman;https://restcountries.eu/data/omn.svg
Pakistan;Visit at least one city in Pakistan;https://restcountries.eu/data/pak.svg
Panama;Visit at least one city in Panama;https://restcountries.eu/data/pan.svg
Papua New Guinea;Visit at least one city in Papua New Guinea;https://restcountries.eu/data/png.svg
Paraguay;Visit at least one city in Paraguay;https://restcountries.eu/data/pry.svg
Peru;Visit at least one city in Peru;https://restcountries.eu/data/per.svg
Philippines;Visit at least one city in Philippines;https://restcountries.eu/data/phl.svg
Poland;Visit at least one city in Poland;https://restcountries.eu/data/pol.svg
Portugal;Visit at least one city in Portugal;https://restcountries.eu/data/prt.svg
Puerto Rico;Visit at least one city in Puerto Rico;https://restcountries.eu/data/pri.svg
Qatar;Visit at least one city in Qatar;https://restcountries.eu/data/qat.svg
Reunion;Visit at least one city in Reunion;https://restcountries.eu/data/reu.svg
Romania;Visit at least one city in Romania;https://restcountries.eu/data/rou.svg
Russia;Visit at least one city in Russia;https://restcountries.eu/data/rus.svg
Rwanda;Visit at least one city in Rwanda;https://restcountries.eu/data/rwa.svg
Sao Tome And Principe;Visit at least one city in Sao Tome And Principe;https://restcountries.eu/data/stp.svg
Saudi Arabia;Visit at least one city in Saudi Arabia;https://restcountries.eu/data/sau.svg
Senegal;Visit at least one city in Senegal;https://restcountries.eu/data/sen.svg
Serbia;Visit at least one city in Serbia;https://restcountries.eu/data/srb.svg
Sierra Leone;Visit at least one city in Sierra Leone;https://restcountries.eu/data/sle.svg
Singapore;Visit at least one city in Singapore;https://restcountries.eu/data/sgp.svg
Slovakia;Visit at least one city in Slovakia;https://restcountries.eu/data/svk.svg
Slovenia;Visit at least one city in Slovenia;https://restcountries.eu/data/svn.svg
Somalia;Visit at least one city in Somalia;https://restcountries.eu/data/som.svg
South Africa;Visit at least one city in South Africa;https://restcountries.eu/data/zaf.svg
South Sudan;Visit at least one city in South Sudan;https://restcountries.eu/data/ssd.svg
Spain;Visit at least one city in Spain;https://restcountries.eu/data/esp.svg
Sri Lanka;Visit at least one city in Sri Lanka;https://restcountries.eu/data/lka.svg
Sudan;Visit at least one city in Sudan;https://restcountries.eu/data/sdn.svg
Suriname;Visit at least one city in Suriname;https://restcountries.eu/data/sur.svg
Swaziland;Visit at least one city in Swaziland;https://restcountries.eu/data/swz.svg
Sweden;Visit at least one city in Sweden;https://restcountries.eu/data/swe.svg
Switzerland;Visit at least one city in Switzerland;https://restcountries.eu/data/che.svg
Syria;Visit at least one city in Syria;https://restcountries.eu/data/syr.svg
Taiwan;Visit at least one city in Taiwan;https://restcountries.eu/data/twn.svg
Tajikistan;Visit at least one city in Tajikistan;https://restcountries.eu/data/tjk.svg
Tanzania;Visit at least one city in Tanzania;https://restcountries.eu/data/tza.svg
Thailand;Visit at least one city in Thailand;https://restcountries.eu/data/tha.svg
Timor-Leste;Visit at least one city in Timor-Leste;https://restcountries.eu/data/tls.svg
Togo;Visit at least one city in Togo;https://restcountries.eu/data/tgo.svg
Trinidad And Tobago;Visit at least one city in Trinidad And Tobago;https://restcountries.eu/data/tto.svg
Tunisia;Visit at least one city in Tunisia;https://restcountries.eu/data/tun.svg
Turkey;Visit at least one city in Turkey;https://restcountries.eu/data/tur.svg
Turkmenistan;Visit at least one city in Turkmenistan;https://restcountries.eu/data/tkm.svg
Uganda;Visit at least one city in Uganda;https://restcountries.eu/data/uga.svg
Ukraine;Visit at least one city in Ukraine;https://restcountries.eu/data/ukr.svg
United Arab Emirates;Visit at least one city in United Arab Emirates;https://restcountries.eu/data/are.svg
United Kingdom;Visit at least one city in United Kingdom;https://restcountries.eu/data/gbr.svg
United States;Visit at least one city in United States;https://restcountries.eu/data/usa.svg
Uruguay;Visit at least one city in Uruguay;https://restcountries.eu/data/ury.svg
Uzbekistan;Visit at least one city in Uzbekistan;https://restcountries.eu/data/uzb.svg
Venezuela;Visit at least one city in Venezuela;https://restcountries.eu/data/ven.svg
Vietnam;Visit at least one city in Vietnam;https://restcountries.eu/data/vnm.svg
Yemen;Visit at least one city in Yemen;https://restcountries.eu/data/yem.svg
Zambia;Visit at least one city in Zambia;https://restcountries.eu/data/zmb.svg
Zimbabwe;Visit at least one city in Zimbabwe;https://restcountries.eu/data/zwe.svg
5+ Countries;Vistied at least 5 countries;http://pixelartmaker.com/art/086fe7507559c28.png
10+ Countries;Visited at least 10 countries;http://pixelartmaker.com/art/086fe7507559c28.png
20+ Countries;Vistied at least 20 countries;http://pixelartmaker.com/art/086fe7507559c28.png
30+ Countries;Vistied at least 30 countries;http://pixelartmaker.com/art/086fe7507559c28.png
40+ Countries;Vistied at least 40 countries;http://pixelartmaker.com/art/086fe7507559c28.png
50+ Countries;Vistied at least 50 countries;http://pixelartmaker.com/art/086fe7507559c28.png
60+ Countries;Vistied at least 60 countries;http://pixelartmaker.com/art/086fe7507559c28.png
70+ Countries;Vistied at least 70 countries;http://pixelartmaker.com/art/086fe7507559c28.png
80+ Countries;Vistied at least 80 countries;http://pixelartmaker.com/art/086fe7507559c28.png
90+ Countries;Vistied at least 90 countries;http://pixelartmaker.com/art/086fe7507559c28.png
100+ Countries;Vistied at least 100 countries;http://pixelartmaker.com/art/086fe7507559c28.png
5+ Cities;Vistied at least 5 cities;http://pixelartmaker.com/art/086fe7507559c28.png
